00501,Holtsville,New York,NY,Suffolk,40.8154,-73.0451
00544,Holtsville,New York,NY,Suffolk,40.8154,-73.0451
01001,Agawam,Massachusetts,MA,Hampden,42.0702,-72.6227
01002,Amherst,Massachusetts,MA,Hampshire,42.3671,-72.4646
01003,Amherst,Massachusetts,MA,Hampshire,42.3919,-72.5248
01004,Amherst,Massachusetts,MA,Hampshire,42.3845,-72.5132
01005,Barre,Massachusetts,MA,Worcester,42.4097,-72.1084
01007,Belchertown,Massachusetts,MA,Hampshire,42.2751,-72.411
01008,Blandford,Massachusetts,MA,Hampden,42.1829,-72.9361
01009,Bondsville,Massachusetts,MA,Hampden,42.2061,-72.3405
01010,Brimfield,Massachusetts,MA,Hampden,42.1165,-72.1885
01011,Chester,Massachusetts,MA,Hampden,42.2794,-72.9888
01012,Chesterfield,Massachusetts,MA,Hampshire,42.3923,-72.8256
01013,Chicopee,Massachusetts,MA,Hampden,42.1487,-72.6079
01014,Chicopee,Massachusetts,MA,Hampden,42.1707,-72.6048
01020,Chicopee,Massachusetts,MA,Hampden,42.1764,-72.5761
01021,Chicopee,Massachusetts,MA,Hampden,42.1707,-72.6048
01022,Chicopee,Massachusetts,MA,Hampden,42.1934,-72.5544
01026,Cummington,Massachusetts,MA,Hampshire,42.4633,-72.9202
01027,Easthampton,Massachusetts,MA,Hampshire,42.2668,-72.669
01028,East Longmeadow,Massachusetts,MA,Hampden,42.0672,-72.5056
01029,East Otis,Massachusetts,MA,Berkshire,42.1909,-73.0517
01030,Feeding Hills,Massachusetts,MA,Hampden,42.0718,-72.6751
01031,Gilbertville,Massachusetts,MA,Worcester,42.3322,-72.1986
01032,Goshen,Massachusetts,MA,Hampshire,42.4404,-72.7995
01033,Granby,Massachusetts,MA,Hampshire,42.2557,-72.52
01034,Granville,Massachusetts,MA,Hampden,42.1127,-72.952
01035,Hadley,Massachusetts,MA,Hampshire,42.3606,-72.5715
01036,Hampden,Massachusetts,MA,Hampden,42.0648,-72.4318
01037,Hardwick,Massachusetts,MA,Worcester,42.3479,-72.2253
01038,Hatfield,Massachusetts,MA,Hampshire,42.3844,-72.6167
01039,Haydenville,Massachusetts,MA,Hampshire,42.3818,-72.7032
01040,Holyoke,Massachusetts,MA,Hampden,42.202,-72.6262
01041,Holyoke,Massachusetts,MA,Hampden,42.2043,-72.6162
01050,Huntington,Massachusetts,MA,Hampshire,42.2653,-72.8733
01053,Leeds,Massachusetts,MA,Hampshire,42.3543,-72.7034
01054,Leverett,Massachusetts,MA,Franklin,42.4682,-72.4993
01056,Ludlow,Massachusetts,MA,Hampden,42.1728,-72.471
01057,Monson,Massachusetts,MA,Hampden,42.101,-72.3196
